id,movies_name,year,timing_min,rating_10,votes,genre,language
tt4540998,Police Lock Up,1992,,6.27478459199189,42.0,action,hindi
tt1954206,The Dirty Picture,2011,,6.6,8815.0,"biography, comedy, drama",tamil
tt0158711,Kurbani,1943,,6.6,5.0,drama,hindi
tt13595374,Nepal First Jagad Guru - Yogiraj Swami Documentary,2020,,6.27478459199189,42.0,documentary,nepali
tt8447590,Lawaris: Karachi's Unknown Dead,2019,,6.27478459199189,42.0,"documentary, short",urdu
tt11203758,Rakhewal,2019,,6.27478459199189,42.0,drama,gujarati
tt14142936,Kanasu Maratakkide,2021,,6.27478459199189,42.0,drama,kannada
tt0232291,Pati Patni Aur Tawaif,1990,,4.3,40.0,"drama, family",hindi
tt10305296,Dholo Mara Malak No,1998,,6.27478459199189,42.0,drama,gujarati
tt0317973,Pambaram,1979,,6.27478459199189,42.0,drama,malayalam
tt9602804,The Last Color,2019,,7.7,740.0,drama,hindi
tt0229966,Aji Bas Shukriya,1958,,6.2,10.0,"comedy, drama, musical",hindi
tt0157526,Delhi Durbar,1956,,6.27478459199189,42.0,drama,hindi
tt0231261,Bhartruhari,1932,,6.27478459199189,42.0,fantasy,hindi
tt5310562,Teer,1954,,6.27478459199189,42.0,drama,hindi
tt13070794,Eppothum Vendran,2014,,6.27478459199189,42.0,drama,tamil
tt2742176,Prem Paigham,1989,,6.27478459199189,42.0,romance,hindi
tt0117672,Smuggler,1996,,4.4,17.0,"action, crime",hindi
tt1615070,Sheikh Chilli,1958,,6.27478459199189,42.0,comedy,punjabi
tt11323086,Sasi Lalitha,2020,,6.27478459199189,42.0,drama,telugu
tt11318718,Om Shri Satya Sai Baba,2021,,6.27478459199189,42.0,biography,hindi
tt4983400,Khooni Insaan,1988,,4.0,7.0,thriller,hindi
tt0322717,Ilamai Kaalangal,1983,,5.7,9.0,drama,tamil
tt0151288,Lalu Bhulu,1959,,7.0,6.0,drama,bengali
tt6425820,Rakkhushi,2006,,6.5,10.0,drama,bengali
tt2644942,Geet Ganga,1982,,6.27478459199189,42.0,drama,hindi
tt0155517,Bachke Rahna,1949,,6.27478459199189,42.0,"action, comedy",hindi
tt4575174,Viswasam Athalle Ellam,2015,,4.9,30.0,"comedy, drama",malayalam
tt0832365,Stop!,2004,,4.5,31.0,"comedy, romance",hindi
